Index,Country,Date,Confirmed Cases,Confirmed Deaths,Population,region,total_cases,cases_in_last_7days,cases_in_last_24hrs,total_deaths,deaths_in_last_7days,deaths_in_last_24hrs
0,Afghanistan,1/1/2022,158107,7356,38928341,,,,,,,
1,Albania,1/1/2022,210224,3217,2877800,,,,,,,
2,Algeria,1/1/2022,218818,6284,43851043,,,,,,,
3,American Samoa,1/1/2022,11,0,55197,,,,,,,
4,Andorra,1/1/2022,23740,140,77265,,,,,,,
5,Angola,1/1/2022,82398,1772,32866268,,,,,,,
6,Anguilla,1/1/2022,1674,5,15002,,,,,,,
7,Antarctica,1/1/2022,11,0,,,,,,,,
8,Antigua and Barbuda,1/1/2022,4283,119,97928,,,,,,,
9,Argentina,1/1/2022,5674428,117181,45195777,,,,,,,
10,Armenia,1/1/2022,344980,7975,2963234,,,,,,,
11,Aruba,1/1/2022,20982,181,106766,,,,,,,
12,Australia,1/1/2022,462955,2257,25499881,,,,,,,
13,Austria,1/1/2022,1274628,16845,9006400,,,,,,,
14,Azerbaijan,1/1/2022,617311,8365,10139175,,,,,,,
15,Bahamas,1/1/2022,24476,717,393248,,,,,,,
16,Bahrain,1/1/2022,282677,1394,1701583,,,,,,,
17,Bangladesh,1/1/2022,1585909,28076,164689383,,,,,,,
18,Barbados,1/1/2022,28810,262,287371,,,,,,,
19,Belarus,1/1/2022,700421,5594,9449321,,,,,,,
20,Belgium,1/1/2022,2105343,28331,11589616,,,,,,,
21,Belize,1/1/2022,32840,602,397621,,,,,,,
22,Benin,1/1/2022,24935,161,12123198,,,,,,,
23,Bermuda,1/1/2022,6420,110,62273,,,,,,,
24,Bhutan,1/1/2022,2660,3,771612,,,,,,,
25,Bolivia,1/1/2022,599753,19680,11673029,,,,,,,
26,Bosnia and Herzegovina,1/1/2022,291313,13442,3280815,,,,,,,
27,Botswana,1/1/2022,219509,2444,2351625,,,,,,,
28,Brazil,1/1/2022,22295621,619367,212559409,,,,,,,
29,British Virgin Islands,1/1/2022,3492,39,30237,,,,,,,
30,Brunei,1/1/2022,15470,98,437483,,,,,,,
31,Bulgaria,1/1/2022,748184,30983,6948445,,,,,,,
32,Burkina Faso,1/1/2022,17632,318,20903278,,,,,,,
33,Burundi,1/1/2022,27366,38,11890781,,,,,,,
34,Cambodia,1/1/2022,120507,3012,16718971,,,,,,,
35,Cameroon,1/1/2022,109367,1851,26545864,,,,,,,
36,Canada,1/1/2022,2256747,30616,37742157,,,,,,,
37,Cape Verde,1/1/2022,42463,352,555988,,,,,,,
38,"Bonaire, Sint Eustatius and Saba",1/1/2022,3429,23,26221,,,,,,,
39,Cayman Islands,1/1/2022,8943,12,65720,,,,,,,
40,Central African Republic,1/1/2022,12163,101,4829764,,,,,,,
41,Chad,1/1/2022,6183,184,16425859,,,,,,,
42,Channel Islands,1/1/2022,0,0,173859,,,,,,,
43,Chile,1/1/2022,1808398,39140,19116209,,,,,,,
44,China,1/1/2022,145182,5699,1471286879,,,,,,,
45,Colombia,1/1/2022,5169855,129986,50882884,,,,,,,
46,Comoros,1/1/2022,6688,157,869595,,,,,,,
47,Congo (Brazzaville),1/1/2022,20089,367,5518092,,,,,,,
48,Congo (Kinshasa),1/1/2022,74793,1205,89561404,,,,,,,
49,Cook Islands,1/1/2022,2,0,17564,,,,,,,
50,Costa Rica,1/1/2022,570556,7353,5094114,,,,,,,
51,Cote d'Ivoire,1/1/2022,71815,718,26378275,,,,,,,
52,Croatia,1/1/2022,720538,12571,4105268,,,,,,,
53,Cuba,1/1/2022,966473,8323,11326616,,,,,,,
54,Curacao,1/1/2022,22141,189,164100,,,,,,,
55,Cyprus,1/1/2022,169159,638,1207361,,,,,,,
56,Czechia,1/1/2022,2480736,36182,10708982,,,,,,,
57,Denmark,1/1/2022,823282,3272,5792203,,,,,,,
58,Djibouti,1/1/2022,13668,189,988002,,,,,,,
59,Dominica,1/1/2022,6862,47,71991,,,,,,,
60,Dominican Republic,1/1/2022,419927,4247,10847904,,,,,,,
61,Ecuador,1/1/2022,551620,33682,17643060,,,,,,,
62,Egypt,1/1/2022,386358,21768,102334403,,,,,,,
63,El Salvador,1/1/2022,121945,3824,6486201,,,,,,,
64,Equatorial Guinea,1/1/2022,13710,175,1402985,,,,,,,
65,Eritrea,1/1/2022,8026,76,3546427,,,,,,,
66,Estonia,1/1/2022,242123,1938,1326539,,,,,,,
67,Eswatini,1/1/2022,66241,1308,1160164,,,,,,,
68,Ethiopia,1/1/2022,424340,6947,114963583,,,,,,,
69,Falkland Islands,1/1/2022,83,0,3483,,,,,,,
70,Faroe Islands,1/1/2022,6081,14,48865,,,,,,,
71,Fiji,1/1/2022,54147,700,896444,,,,,,,
72,Finland,1/1/2022,277700,1728,5540718,,,,,,,
73,France,1/1/2022,9980940,121311,65273512,,,,,,,
74,French Guiana,1/1/2022,47631,338,298682,,,,,,,
75,French Polynesia,1/1/2022,46382,636,280904,,,,,,,
76,Gabon,1/1/2022,41798,288,2225728,,,,,,,
77,Gambia,1/1/2022,10170,343,2416664,,,,,,,
78,Georgia,1/1/2022,936844,13860,3989175,,,,,,,
79,Germany,1/1/2022,7176814,112109,83783945,,,,,,,
80,Ghana,1/1/2022,143997,1298,31072945,,,,,,,
81,Gibraltar,1/1/2022,8794,100,33691,,,,,,,
82,Greece,1/1/2022,1240862,20849,10423056,,,,,,,
83,Greenland,1/1/2022,2611,1,56772,,,,,,,
84,Grenada,1/1/2022,6299,200,112519,,,,,,,
85,Guadeloupe,1/1/2022,55795,831,400127,,,,,,,
86,Guam,1/1/2022,19618,270,168783,,,,,,,
87,Guatemala,1/1/2022,628589,16108,17915567,,,,,,,
88,Guernsey,1/1/2022,8081,24,,,,,,,,
89,Guinea,1/1/2022,32448,391,13132792,,,,,,,
90,Guinea-Bissau,1/1/2022,6484,149,1967998,,,,,,,
91,Guyana,1/1/2022,39779,1054,786559,,,,,,,
92,Haiti,1/1/2022,25985,766,11402533,,,,,,,
93,Honduras,1/1/2022,379402,10433,9904608,,,,,,,
94,Hungary,1/1/2022,1256415,39186,9660350,,,,,,,
95,Iceland,1/1/2022,27059,37,341250,,,,,,,
96,India,1/1/2022,34889132,481770,1380004385,,,,,,,
97,Indonesia,1/1/2022,4262994,144096,273523621,,,,,,,
98,Iran,1/1/2022,6195403,131639,83992953,,,,,,,
99,Iraq,1/1/2022,2093891,24163,40222503,,,,,,,
100,Ireland,1/1/2022,811840,5912,4937796,,,,,,,
101,Isle of Man,1/1/2022,13695,67,85032,,,,,,,
102,Israel,1/1/2022,1390053,8244,8655541,,,,,,,
103,Italy,1/1/2022,6266939,137513,60461828,,,,,,,
104,Jamaica,1/1/2022,94649,2476,2961161,,,,,,,
105,Japan,1/1/2022,1734329,18402,126476458,,,,,,,
106,Jersey,1/1/2022,19428,89,,,,,,,,
107,Jordan,1/1/2022,1064277,12684,10203140,,,,,,,
108,Kazakhstan,1/1/2022,1072999,18211,18776707,,,,,,,
109,Kenya,1/1/2022,297155,5381,53771300,,,,,,,
110,Kiribati,1/1/2022,2,0,119446,,,,,,,
111,Kosovo,1/1/2022,161531,2991,1935259,,,,,,,
112,Kuwait,1/1/2022,417723,2468,4270563,,,,,,,
113,Kyrgyzstan,1/1/2022,184748,2802,6524191,,,,,,,
114,Laos,1/1/2022,112083,374,7275556,,,,,,,
115,Latvia,1/1/2022,276841,4577,1886202,,,,,,,
116,Lebanon,1/1/2022,731288,9136,6825442,,,,,,,
117,Lesotho,1/1/2022,29652,671,2142252,,,,,,,
118,Liberia,1/1/2022,6278,287,5057677,,,,,,,
119,Libya,1/1/2022,388734,5710,6871287,,,,,,,
120,Liechtenstein,1/1/2022,6167,69,38137,,,,,,,
121,Lithuania,1/1/2022,526628,7412,2722291,,,,,,,
122,Luxembourg,1/1/2022,103766,915,625976,,,,,,,
123,Madagascar,1/1/2022,50279,1027,27691019,,,,,,,
124,Malawi,1/1/2022,75828,2368,19129955,,,,,,,
125,Malaysia,1/1/2022,2761472,31513,32365998,,,,,,,
126,Maldives,1/1/2022,95891,262,540542,,,,,,,
127,Mali,1/1/2022,21378,668,20250834,,,,,,,
128,Malta,1/1/2022,53503,477,441539,,,,,,,
129,Marshall Islands,1/1/2022,4,0,59194,,,,,,,
130,Martinique,1/1/2022,48123,777,375265,,,,,,,
131,Mauritania,1/1/2022,41867,870,4649660,,,,,,,
132,Mauritius,1/1/2022,68552,786,1271767,,,,,,,
133,Mayotte,1/1/2022,21911,185,272813,,,,,,,
134,Mexico,1/1/2022,3988916,299525,128932753,,,,,,,
135,Micronesia,1/1/2022,1,0,115021,,,,,,,
136,Moldova,1/1/2022,376434,10284,4033963,,,,,,,
137,Monaco,1/1/2022,4985,39,39244,,,,,,,
138,Mongolia,1/1/2022,693119,2060,3278292,,,,,,,
139,Montenegro,1/1/2022,171873,2414,628062,,,,,,,
140,Montserrat,1/1/2022,50,1,4999,,,,,,,
141,Morocco,1/1/2022,965420,14851,36910558,,,,,,,
142,Mozambique,1/1/2022,191722,2012,31255435,,,,,,,
143,Burma,1/1/2022,530946,19272,54409794,,,,,,,
144,Namibia,1/1/2022,148839,3645,2540916,,,,,,,
145,Nepal,1/1/2022,828773,11594,29136808,,,,,,,
146,Netherlands,1/1/2022,3165793,20951,17134873,,,,,,,
147,New Caledonia,1/1/2022,12826,281,285491,,,,,,,
148,New Zealand,1/1/2022,14255,51,4822233,,,,,,,
149,Nicaragua,1/1/2022,13563,217,6624554,,,,,,,
150,Niger,1/1/2022,7438,276,24206636,,,,,,,
151,Nigeria,1/1/2022,242877,3033,206139587,,,,,,,
152,North Korea,1/1/2022,0,0,25778815,,,,,,,
153,North Macedonia,1/1/2022,225484,7969,2083380,,,,,,,
154,Northern Mariana Islands,1/1/2022,3287,14,57557,,,,,,,
155,Norway,1/1/2022,396415,1305,5421242,,,,,,,
156,Oman,1/1/2022,305489,4116,5106622,,,,,,,
157,Pakistan,1/1/2022,1296527,28941,220892331,,,,,,,
158,Palau,1/1/2022,12,0,18092,,,,,,,
159,West Bank and Gaza,1/1/2022,469748,4919,5101416,,,,,,,
160,Panama,1/1/2022,497808,7430,4314768,,,,,,,
161,Papua New Guinea,1/1/2022,36158,590,8947027,,,,,,,
162,Paraguay,1/1/2022,466101,16624,7132530,,,,,,,
163,Peru,1/1/2022,2301177,202741,32971846,,,,,,,
164,Philippines,1/1/2022,2847486,51545,109581085,,,,,,,
165,Poland,1/1/2022,4120248,97559,37846605,,,,,,,
166,Portugal,1/1/2022,1412936,18976,10196707,,,,,,,
167,Puerto Rico,1/1/2022,272724,3308,2860840,,,,,,,
168,Qatar,1/1/2022,251361,618,2881060,,,,,,,
169,Reunion,1/1/2022,76602,409,895308,,,,,,,
170,Romania,1/1/2022,1810342,58779,19237682,,,,,,,
171,Russia,1/1/2022,10340011,303496,145934460,,,,,,,
172,Rwanda,1/1/2022,112654,1351,12952209,,,,,,,
173,St. Martin (French part),1/1/2022,4250,58,38659,,,,,,,
174,Samoa,1/1/2022,3,0,198410,,,,,,,
175,San Marino,1/1/2022,8202,100,33938,,,,,,,
176,São Tomé and Príncipe,1/1/2022,3903,57,219161,,,,,,,
177,Saudi Arabia,1/1/2022,557082,8878,34813867,,,,,,,
178,Senegal,1/1/2022,75337,1890,16743930,,,,,,,
179,Serbia,1/1/2022,1300949,12739,6802111,,,,,,,
180,Seychelles,1/1/2022,24788,134,98340,,,,,,,
181,Sierra Leone,1/1/2022,7114,123,7976985,,,,,,,
182,Singapore,1/1/2022,279861,829,5850343,,,,,,,
183,Sint Maarten,1/1/2022,5301,75,42882,,,,,,,
184,Slovakia,1/1/2022,1374354,16665,5459643,,,,,,,
185,Slovenia,1/1/2022,465711,5597,2078932,,,,,,,
186,Solomon Islands,1/1/2022,24,0,686878,,,,,,,
187,Somalia,1/1/2022,23532,1333,15893219,,,,,,,
188,South Africa,1/1/2022,3468079,91198,59308690,,,,,,,
189,South Korea,1/1/2022,639083,5694,51269183,,,,,,,
190,South Sudan,1/1/2022,15242,135,11193729,,,,,,,
191,Spain,1/1/2022,6294745,89405,46754783,,,,,,,
192,Sri Lanka,1/1/2022,587596,14997,21413250,,,,,,,
193,St. Barthelemy,1/1/2022,1895,6,9885,,,,,,,
194,St. Helena,1/1/2022,4,0,6071,,,,,,,
195,St. Kitts and Nevis,1/1/2022,3043,28,53192,,,,,,,
196,St. Lucia,1/1/2022,13640,301,183629,,,,,,,
197,St. Pierre and Miquelon,1/1/2022,100,0,5795,,,,,,,
198,St. Vincent and Grenadines,1/1/2022,5850,81,110947,,,,,,,
199,Sudan,1/1/2022,46518,3331,43849269,,,,,,,
200,Suriname,1/1/2022,52612,1190,586634,,,,,,,
201,Sweden,1/1/2022,1314784,15310,10099270,,,,,,,
202,Switzerland,1/1/2022,1332615,12220,8654618,,,,,,,
203,Syria,1/1/2022,50310,2901,17500657,,,,,,,
204,Tajikistan,1/1/2022,17493,125,9537642,,,,,,,
205,Tanzania,1/1/2022,29306,737,59734213,,,,,,,
206,Thailand,1/1/2022,2226446,21708,69799978,,,,,,,
207,Timor-Leste,1/1/2022,19839,122,1318442,,,,,,,
208,Togo,1/1/2022,30163,248,8278737,,,,,,,
209,Tonga,1/1/2022,1,0,105697,,,,,,,
210,Trinidad and Tobago,1/1/2022,92201,2883,1399491,,,,,,,
211,Tunisia,1/1/2022,727843,25576,11818618,,,,,,,
212,Turkey,1/1/2022,9519281,82506,84339067,,,,,,,
213,Turks and Caicos Islands,1/1/2022,3408,26,38718,,,,,,,
214,U.S. Virgin Islands,1/1/2022,10106,89,104423,,,,,,,
215,Uganda,1/1/2022,142604,3297,45741000,,,,,,,
216,Ukraine,1/1/2022,3852397,102300,43733759,,,,,,,
217,United Arab Emirates,1/1/2022,764493,2165,9890400,,,,,,,
218,United Kingdom,1/1/2022,13100458,148778,67886004,,,,,,,
219,United States,1/1/2022,54718452,822661,331002647,,,,,,,
220,Uruguay,1/1/2022,414294,6172,3473727,,,,,,,
221,Uzbekistan,1/1/2022,199030,1485,33469199,,,,,,,
222,Vanuatu,1/1/2022,7,1,307150,,,,,,,
223,Holy See,1/1/2022,27,0,809,,,,,,,
224,Venezuela,1/1/2022,444828,5331,28435943,,,,,,,
225,Vietnam,1/1/2022,1746092,32610,97338583,,,,,,,
226,Wallis and Futuna,1/1/2022,454,7,11246,,,,,,,
227,Yemen,1/1/2022,10127,1984,29825968,,,,,,,
228,Zambia,1/1/2022,257948,3740,18383956,,,,,,,
229,Zimbabwe,1/1/2022,214214,5017,14862927,,,,,,,
230,Afghanistan,1/2/2022,158189,7361,38928341,,,,,,,
231,Albania,1/2/2022,210885,3220,2877800,,,,,,,
232,Algeria,1/2/2022,219159,6291,43851043,,,,,,,
233,American Samoa,1/2/2022,11,0,55197,,,,,,,
234,Andorra,1/2/2022,23740,140,77265,,,,,,,
235,Angola,1/2/2022,82920,1772,32866268,,,,,,,
236,Anguilla,1/2/2022,1674,5,15002,,,,,,,
237,Antarctica,1/2/2022,11,0,,,,,,,,
238,Antigua and Barbuda,1/2/2022,4283,119,97928,,,,,,,
239,Argentina,1/2/2022,5694930,117204,45195777,,,,,,,
240,Armenia,1/2/2022,345007,7977,2963234,,,,,,,
241,Aruba,1/2/2022,21471,181,106766,,,,,,,
242,Australia,1/2/2022,492563,2266,25499881,,,,,,,
243,Austria,1/2/2022,1278327,16859,9006400,,,,,,,
244,Azerbaijan,1/2/2022,617679,8375,10139175,,,,,,,
245,Bahamas,1/2/2022,25285,717,393248,,,,,,,
246,Bahrain,1/2/2022,283344,1395,1701583,,,,,,,
247,Bangladesh,1/2/2022,1586466,28077,164689383,,,,,,,
248,Barbados,1/2/2022,28960,262,287371,,,,,,,
249,Belarus,1/2/2022,701192,5609,9449321,,,,,,,
250,Belgium,1/2/2022,2105343,28331,11589616,,,,,,,
251,Belize,1/2/2022,32840,602,397621,,,,,,,
252,Benin,1/2/2022,24935,161,12123198,,,,,,,
253,Bermuda,1/2/2022,6420,110,62273,,,,,,,
254,Bhutan,1/2/2022,2660,3,771612,,,,,,,
255,Bolivia,1/2/2022,611031,19722,11673029,,,,,,,
256,Bosnia and Herzegovina,1/2/2022,291313,13442,3280815,,,,,,,
257,Botswana,1/2/2022,219509,2444,2351625,,,,,,,
258,Brazil,1/2/2022,22297427,619401,212559409,,,,,,,
259,British Virgin Islands,1/2/2022,3492,39,30237,,,,,,,
260,Brunei,1/2/2022,15470,98,437483,,,,,,,
261,Bulgaria,1/2/2022,749540,31027,6948445,,,,,,,
262,Burkina Faso,1/2/2022,17632,318,20903278,,,,,,,
263,Burundi,1/2/2022,27366,38,11890781,,,,,,,
264,Cambodia,1/2/2022,120510,3013,16718971,,,,,,,
265,Cameroon,1/2/2022,109367,1851,26545864,,,,,,,
266,Canada,1/2/2022,2286735,30667,37742157,,,,,,,
267,Cape Verde,1/2/2022,42811,352,555988,,,,,,,
268,"Bonaire, Sint Eustatius and Saba",1/2/2022,3488,23,26221,,,,,,,
269,Cayman Islands,1/2/2022,8943,12,65720,,,,,,,
270,Central African Republic,1/2/2022,12163,101,4829764,,,,,,,
271,Chad,1/2/2022,6183,184,16425859,,,,,,,
272,Channel Islands,1/2/2022,0,0,173859,,,,,,,
273,Chile,1/2/2022,1810302,39162,19116209,,,,,,,
274,China,1/2/2022,145329,5699,1471286879,,,,,,,
275,Colombia,1/2/2022,5181173,130026,50882884,,,,,,,
276,Comoros,1/2/2022,6835,158,869595,,,,,,,
277,Congo (Brazzaville),1/2/2022,20089,367,5518092,,,,,,,
278,Congo (Kinshasa),1/2/2022,74793,1205,89561404,,,,,,,
279,Cook Islands,1/2/2022,2,0,17564,,,,,,,
280,Costa Rica,1/2/2022,570556,7353,5094114,,,,,,,
281,Cote d'Ivoire,1/2/2022,72352,720,26378275,,,,,,,
282,Croatia,1/2/2022,720951,12609,4105268,,,,,,,
283,Cuba,1/2/2022,966942,8324,11326616,,,,,,,
284,Curacao,1/2/2022,22551,189,164100,,,,,,,
285,Cyprus,1/2/2022,172697,639,1207361,,,,,,,
286,Czechia,1/2/2022,2481832,36219,10708982,,,,,,,
287,Denmark,1/2/2022,831236,3287,5792203,,,,,,,
288,Djibouti,1/2/2022,13685,189,988002,,,,,,,
289,Dominica,1/2/2022,6862,47,71991,,,,,,,
290,Dominican Republic,1/2/2022,421953,4249,10847904,,,,,,,
291,Ecuador,1/2/2022,552324,33683,17643060,,,,,,,
292,Egypt,1/2/2022,387159,21797,102334403,,,,,,,
293,El Salvador,1/2/2022,121945,3825,6486201,,,,,,,
294,Equatorial Guinea,1/2/2022,13710,175,1402985,,,,,,,
295,Eritrea,1/2/2022,8049,76,3546427,,,,,,,
296,Estonia,1/2/2022,242552,1938,1326539,,,,,,,
297,Eswatini,1/2/2022,66286,1310,1160164,,,,,,,
298,Ethiopia,1/2/2022,426656,6958,114963583,,,,,,,
299,Falkland Islands,1/2/2022,83,0,3483,,,,,,,
300,Faroe Islands,1/2/2022,6105,14,48865,,,,,,,
301,Fiji,1/2/2022,54147,700,896444,,,,,,,
302,Finland,1/2/2022,281702,1739,5540718,,,,,,,
303,France,1/2/2022,10039372,121402,65273512,,,,,,,
304,French Guiana,1/2/2022,47631,338,298682,,,,,,,
305,French Polynesia,1/2/2022,46382,636,280904,,,,,,,
306,Gabon,1/2/2022,41798,288,2225728,,,,,,,
307,Gambia,1/2/2022,10170,343,2416664,,,,,,,
308,Georgia,1/2/2022,937640,13905,3989175,,,,,,,
309,Germany,1/2/2022,7189329,112155,83783945,,,,,,,
310,Ghana,1/2/2022,145052,1303,31072945,,,,,,,
311,Gibraltar,1/2/2022,8821,100,33691,,,,,,,
312,Greece,1/2/2022,1258495,20910,10423056,,,,,,,
313,Greenland,1/2/2022,2611,1,56772,,,,,,,
314,Grenada,1/2/2022,6306,200,112519,,,,,,,
315,Guadeloupe,1/2/2022,55795,831,400127,,,,,,,
316,Guam,1/2/2022,19618,270,168783,,,,,,,
317,Guatemala,1/2/2022,628695,16109,17915567,,,,,,,
318,Guernsey,1/2/2022,8329,24,,,,,,,,
319,Guinea,1/2/2022,32671,391,13132792,,,,,,,
320,Guinea-Bissau,1/2/2022,6484,149,1967998,,,,,,,
321,Guyana,1/2/2022,40060,1055,786559,,,,,,,
322,Haiti,1/2/2022,25985,766,11402533,,,,,,,
323,Honduras,1/2/2022,379402,10433,9904608,,,,,,,
324,Hungary,1/2/2022,1256415,39186,9660350,,,,,,,
325,Iceland,1/2/2022,27059,37,341250,,,,,,,
326,India,1/2/2022,34922882,481893,1380004385,,,,,,,
327,Indonesia,1/2/2022,4263168,144097,273523621,,,,,,,
328,Iran,1/2/2022,6196913,131680,83992953,,,,,,,
329,Iraq,1/2/2022,2094097,24167,40222503,,,,,,,
330,Ireland,1/2/2022,811840,5912,4937796,,,,,,,
331,Isle of Man,1/2/2022,13695,67,85032,,,,,,,
332,Israel,1/2/2022,1395113,8244,8655541,,,,,,,
333,Italy,1/2/2022,6328076,137646,60461828,,,,,,,
334,Jamaica,1/2/2022,95177,2476,2961161,,,,,,,
335,Japan,1/2/2022,1734806,18404,126476458,,,,,,,
336,Jersey,1/2/2022,19751,89,,,,,,,,
337,Jordan,1/2/2022,1065571,12710,10203140,,,,,,,
338,Kazakhstan,1/2/2022,1072999,18211,18776707,,,,,,,
339,Kenya,1/2/2022,298509,5384,53771300,,,,,,,
340,Kiribati,1/2/2022,2,0,119446,,,,,,,
341,Kosovo,1/2/2022,161560,2991,1935259,,,,,,,
342,Kuwait,1/2/2022,418332,2468,4270563,,,,,,,
343,Kyrgyzstan,1/2/2022,184786,2804,6524191,,,,,,,
344,Laos,1/2/2022,112767,380,7275556,,,,,,,
345,Latvia,1/2/2022,277021,4579,1886202,,,,,,,
346,Lebanon,1/2/2022,732733,9154,6825442,,,,,,,
347,Lesotho,1/2/2022,29756,671,2142252,,,,,,,
348,Liberia,1/2/2022,6278,287,5057677,,,,,,,
349,Libya,1/2/2022,389650,5722,6871287,,,,,,,
350,Liechtenstein,1/2/2022,6208,69,38137,,,,,,,
351,Lithuania,1/2/2022,527906,7432,2722291,,,,,,,
352,Luxembourg,1/2/2022,103766,915,625976,,,,,,,
353,Madagascar,1/2/2022,50279,1027,27691019,,,,,,,
354,Malawi,1/2/2022,76066,2371,19129955,,,,,,,
355,Malaysia,1/2/2022,2764354,31532,32365998,,,,,,,
356,Maldives,1/2/2022,96052,262,540542,,,,,,,
357,Mali,1/2/2022,21549,668,20250834,,,,,,,
358,Malta,1/2/2022,54250,479,441539,,,,,,,
359,Marshall Islands,1/2/2022,4,0,59194,,,,,,,
360,Martinique,1/2/2022,48123,777,375265,,,,,,,
361,Mauritania,1/2/2022,42182,872,4649660,,,,,,,
362,Mauritius,1/2/2022,68612,786,1271767,,,,,,,
363,Mayotte,1/2/2022,21911,185,272813,,,,,,,
364,Mexico,1/2/2022,3990587,299544,128932753,,,,,,,
365,Micronesia,1/2/2022,1,0,115021,,,,,,,
366,Moldova,1/2/2022,376602,10290,4033963,,,,,,,
367,Monaco,1/2/2022,4985,39,39244,,,,,,,
368,Mongolia,1/2/2022,693546,2060,3278292,,,,,,,
369,Montenegro,1/2/2022,173161,2416,628062,,,,,,,
370,Montserrat,1/2/2022,51,1,4999,,,,,,,
371,Morocco,1/2/2022,966777,14855,36910558,,,,,,,
372,Mozambique,1/2/2022,192453,2019,31255435,,,,,,,
373,Burma,1/2/2022,531025,19274,54409794,,,,,,,
374,Namibia,1/2/2022,149478,3655,2540916,,,,,,,
375,Nepal,1/2/2022,828986,11596,29136808,,,,,,,
376,Netherlands,1/2/2022,3180329,20957,17134873,,,,,,,
377,New Caledonia,1/2/2022,12826,281,285491,,,,,,,
378,New Zealand,1/2/2022,14306,51,4822233,,,,,,,
379,Nicaragua,1/2/2022,13563,217,6624554,,,,,,,
380,Niger,1/2/2022,7438,276,24206636,,,,,,,
381,Nigeria,1/2/2022,242877,3033,206139587,,,,,,,
382,North Korea,1/2/2022,0,0,25778815,,,,,,,
383,North Macedonia,1/2/2022,225730,7975,2083380,,,,,,,
384,Northern Mariana Islands,1/2/2022,3297,17,57557,,,,,,,
385,Norway,1/2/2022,399318,1305,5421242,,,,,,,
386,Oman,1/2/2022,305832,4117,5106622,,,,,,,
387,Pakistan,1/2/2022,1297235,28943,220892331,,,,,,,
388,Palau,1/2/2022,13,0,18092,,,,,,,
389,West Bank and Gaza,1/2/2022,469748,4919,5101416,,,,,,,
390,Panama,1/2/2022,498785,7433,4314768,,,,,,,
391,Papua New Guinea,1/2/2022,36190,590,8947027,,,,,,,
392,Paraguay,1/2/2022,466101,16624,7132530,,,,,,,
393,Peru,1/2/2022,2302678,202782,32971846,,,,,,,
394,Philippines,1/2/2022,2851931,51570,109581085,,,,,,,
395,Poland,1/2/2022,4127428,97592,37846605,,,,,,,
396,Portugal,1/2/2022,1424016,18990,10196707,,,,,,,
397,Puerto Rico,1/2/2022,292662,3310,2860840,,,,,,,
398,Qatar,1/2/2022,252359,618,2881060,,,,,,,
399,Reunion,1/2/2022,76602,409,895308,,,,,,,
400,Romania,1/2/2022,1811300,58796,19237682,,,,,,,
401,Russia,1/2/2022,10358099,304284,145934460,,,,,,,
402,Rwanda,1/2/2022,113582,1355,12952209,,,,,,,
403,St. Martin (French part),1/2/2022,4250,58,38659,,,,,,,
404,Samoa,1/2/2022,3,0,198410,,,,,,,
405,San Marino,1/2/2022,8202,100,33938,,,,,,,
406,São Tomé and Príncipe,1/2/2022,3912,57,219161,,,,,,,
407,Saudi Arabia,1/2/2022,558106,8879,34813867,,,,,,,
408,Senegal,1/2/2022,75671,1890,16743930,,,,,,,
409,Serbia,1/2/2022,1302856,12760,6802111,,,,,,,
410,Seychelles,1/2/2022,24788,134,98340,,,,,,,
411,Sierra Leone,1/2/2022,7179,123,7976985,,,,,,,
412,Singapore,1/2/2022,280290,829,5850343,,,,,,,
413,Sint Maarten,1/2/2022,5301,75,42882,,,,,,,
414,Slovakia,1/2/2022,1374850,16701,5459643,,,,,,,
415,Slovenia,1/2/2022,466554,5603,2078932,,,,,,,
416,Solomon Islands,1/2/2022,24,0,686878,,,,,,,
417,Somalia,1/2/2022,23532,1333,15893219,,,,,,,
418,South Africa,1/2/2022,3472436,91228,59308690,,,,,,,
419,South Korea,1/2/2022,642207,5730,51269183,,,,,,,
420,South Sudan,1/2/2022,15242,135,11193729,,,,,,,
421,Spain,1/2/2022,6294745,89405,46754783,,,,,,,
422,Sri Lanka,1/2/2022,587935,15019,21413250,,,,,,,
423,St. Barthelemy,1/2/2022,1895,6,9885,,,,,,,
424,St. Helena,1/2/2022,4,0,6071,,,,,,,
425,St. Kitts and Nevis,1/2/2022,3193,28,53192,,,,,,,
426,St. Lucia,1/2/2022,13732,301,183629,,,,,,,
427,St. Pierre and Miquelon,1/2/2022,100,0,5795,,,,,,,
428,St. Vincent and Grenadines,1/2/2022,5952,83,110947,,,,,,,
429,Sudan,1/2/2022,46518,3331,43849269,,,,,,,
430,Suriname,1/2/2022,52895,1190,586634,,,,,,,
431,Sweden,1/2/2022,1314784,15310,10099270,,,,,,,
432,Switzerland,1/2/2022,1332615,12227,8654618,,,,,,,
433,Syria,1/2/2022,50337,2905,17500657,,,,,,,
434,Tajikistan,1/2/2022,17493,125,9537642,,,,,,,
435,Tanzania,1/2/2022,29306,737,59734213,,,,,,,
436,Thailand,1/2/2022,2229558,21720,69799978,,,,,,,
437,Timor-Leste,1/2/2022,19839,122,1318442,,,,,,,
438,Togo,1/2/2022,31165,248,8278737,,,,,,,
439,Tonga,1/2/2022,1,0,105697,,,,,,,
440,Trinidad and Tobago,1/2/2022,92659,2914,1399491,,,,,,,
441,Tunisia,1/2/2022,728260,25586,11818618,,,,,,,
442,Turkey,1/2/2022,9552801,82635,84339067,,,,,,,
